"","nom","code_postal_1","code_postal_2","code_postal_3","code_insee","arrondissement","canton","intercommunalité","superficie","population","densite"
"173","Heidolsheim",67390,NA,NA,67187,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",5.92,514,87
"174","Heiligenberg",67190,NA,NA,67188,"Molsheim","Mutzig","CC de la région de Molsheim-Mutzig",5.47,659,120
"175","Heiligenstein",67140,NA,NA,67189,"Sélestat-Erstein","Obernai","CC du Pays de Barr",3.99,957,240
"176","Hengwiller",67440,NA,NA,67190,"Saverne","Saverne","CC du Pays de Saverne",2.15,188,87
"177","Herbitzheim",67260,NA,NA,67191,"Saverne","Ingwiller","CC de l'Alsace Bossue",21.73,1851,85
"178","Herbsheim",67230,NA,NA,67192,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",8.6,916,107
"179","Herrlisheim",67850,NA,NA,67194,"Haguenau-Wissembourg","Bischwiller","CC du Pays Rhénan",14.38,4864,338
"180","Hessenheim",67390,NA,NA,67195,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",5.21,621,119
"181","Hilsenheim",67600,NA,NA,67196,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",19.91,2653,133
"182","Hindisheim",67150,NA,NA,67197,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",11.84,1464,124
"183","Hinsbourg",67290,NA,NA,67198,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",3.28,113,34
"184","Hinsingen",67260,NA,NA,67199,"Saverne","Ingwiller","CC de l'Alsace Bossue",2.98,89,30
"185","Hipsheim",67150,NA,NA,67200,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",4.52,1015,225
"186","Hirschland",67320,NA,NA,67201,"Saverne","Ingwiller","CC de l'Alsace Bossue",10.73,332,31
"187","Hochfleden",67270,NA,NA,67202,"Saverne","Bouxwiller","CC du Pays de la Zorn",15.76,3958,251
"188","Hochstett",67170,NA,NA,67203,"Haguenau-Wissembourg","Haguenau","CA de Haguenau",2.13,367,172
"189","Hœnheim",67800,NA,NA,67204,"Strasbourg","Hœnheim","Eurométropole de Strasbourg",3.42,11191,3272
"190","Hœrdt",67720,NA,NA,67205,"Haguenau-Wissembourg","Brumath","CC de la Basse-Zorn",16.56,4324,261
"191","Hoffen",67250,NA,NA,67206,"Haguenau-Wissembourg","Wissembourg","CC de l'Outre-Forêt",9.45,1131,120
"192","Hohengœft",67310,NA,NA,67208,"Molsheim","Saverne","CC de la Mossig et du Vignoble",3.43,527,154
"193","Hohfrankenheim",67270,NA,NA,67209,"Saverne","Bouxwiller","CC du Pays de la Zorn",2.76,260,94
"194","Le Hohwald",67140,NA,NA,67210,"Sélestat-Erstein","Obernai","CC du Pays de Barr",20.84,503,24
"195","Holtzheim",67810,NA,NA,67212,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",6.91,3617,523
"196","Hunspach",67250,NA,NA,67213,"Haguenau-Wissembourg","Wissembourg","CC du Pays de Wissembourg‎",5.49,637,116
"197","Hurtigheim",67117,NA,NA,67214,"Saverne","Bouxwiller","CC du Kochersberg",4.63,745,161
"198","Huttendorf",67270,NA,NA,67215,"Haguenau-Wissembourg","Haguenau","CA de Haguenau",4.4,509,116
"199","Huttenheim",67230,NA,NA,67216,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",12.55,2705,216
"200","Ichtratzheim",67640,NA,NA,67217,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",3.09,308,100
"201","Illkirch-Graffenstaden",67400,NA,NA,67218,"Strasbourg","Illkirch-Graffenstaden","Eurométropole de Strasbourg",22.21,26837,1208
"202","Ingenheim",67270,NA,NA,67220,"Saverne","Bouxwiller","CC du Pays de la Zorn",5.37,326,61
"203","Ingolsheim",67250,NA,NA,67221,"Haguenau-Wissembourg","Wissembourg","CC du Pays de Wissembourg‎",4.46,305,68
"204","Ingwiller",67340,NA,NA,67222,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",18.05,4065,225
"205","Innenheim",67880,NA,NA,67223,"Sélestat-Erstein","Molsheim","CC du Pays de Sainte-Odile",6.24,1186,190
"206","Issenhausen",67330,NA,NA,67225,"Saverne","Bouxwiller","CC du Pays de la Zorn",2.1,108,51
"207","Ittenheim",67117,NA,NA,67226,"Saverne","Bouxwiller","CC du Kochersberg",6.71,2125,317
"208","Itterswiller",67140,NA,NA,67227,"Sélestat-Erstein","Obernai","CC du Pays de Barr",1.18,242,205
"209","Jetterswiller",67440,NA,NA,67229,"Molsheim","Saverne","CC de la Mossig et du Vignoble",3.54,191,54
"210","Kaltenhouse",67240,NA,NA,67230,"Haguenau-Wissembourg","Bischwiller","CA de Haguenau",3.72,2232,600
"211","Kauffenheim",67480,NA,NA,67231,"Haguenau-Wissembourg","Bischwiller","CC du Pays Rhénan",2.24,213,95
"212","Keffenach",67250,NA,NA,67232,"Haguenau-Wissembourg","Wissembourg","CC de l'Outre-Forêt",2.39,187,78
"213","Kertzfeld",67230,NA,NA,67233,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",9.43,1236,131
"214","Keskastel",67260,NA,NA,67234,"Saverne","Ingwiller","CC de l'Alsace Bossue",18.87,1532,81
"215","Kesseldorf",67930,NA,NA,67235,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",7.26,408,56
"216","Kienheim",67270,NA,NA,67236,"Saverne","Bouxwiller","CC du Kochersberg",3.18,565,178
"217","Kilstett",67840,NA,NA,67237,"Haguenau-Wissembourg","Brumath","CC du Pays Rhénan",6.9,2538,368
"218","Kindwiller",67350,NA,NA,67238,"Haguenau-Wissembourg","Reichshoffen","CA de Haguenau",5.97,635,106
"219","Kintzheim",67600,NA,NA,67239,"Sélestat-Erstein","Sélestat","CC de Sélestat",18.78,1621,86
"220","Kirchheim",67520,NA,NA,67240,"Molsheim","Molsheim","CC de la Mossig et du Vignoble",2.3,690,300
"221","Kirrberg",67320,NA,NA,67241,"Saverne","Ingwiller","CC de l'Alsace Bossue",6.35,168,26
"222","Kirrwiller",67330,NA,NA,67242,"Saverne","Bouxwiller","CC de Hanau-La Petite Pierre",4.89,553,113
"223","Kleingœft",67440,NA,NA,67244,"Saverne","Saverne","CC du Pays de Saverne",2.5,156,62
"224","Knœrsheim",67310,NA,NA,67245,"Molsheim","Saverne","CC de la Mossig et du Vignoble",2.36,225,95
"225","Kogenheim",67230,NA,NA,67246,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",11.77,1241,105
"226","Kolbsheim",67120,NA,NA,67247,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",3.33,940,282
"227","Krautergersheim",67880,NA,NA,67248,"Sélestat-Erstein","Obernai","CC du Pays de Sainte-Odile",6.37,1662,261
"228","Krautwiller",67170,NA,NA,67249,"Haguenau-Wissembourg","Brumath","CA de Haguenau",1.48,235,159
"229","Kriegsheim",67170,NA,NA,67250,"Haguenau-Wissembourg","Brumath","CA de Haguenau",3.93,783,199
"230","Kurtzenhouse",67240,NA,NA,67252,"Haguenau-Wissembourg","Brumath","CC de la Basse-Zorn",3.58,1049,293
"231","Kuttolsheim",67520,NA,NA,67253,"Saverne","Bouxwiller","CC du Kochersberg",4.59,628,137
"232","Kutzenhausen",67250,NA,NA,67254,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",7.2,919,128
"233","Lalaye",67220,NA,NA,67255,"Sélestat-Erstein","Mutzig","CC de la Vallée de Villé",8.18,471,58
"234","Lampertheim",67450,NA,NA,67256,"Strasbourg","Hœnheim","Eurométropole de Strasbourg",6.58,3004,457
"235","Lampertsloch",67250,NA,NA,67257,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",10.43,732,70
"236","Landersheim",67700,NA,NA,67258,"Saverne","Saverne","CC du Pays de Saverne",2.13,203,95
"237","Langensoultzbach",67360,NA,NA,67259,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",13.09,937,72
"238","Laubach",67580,NA,NA,67260,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",1.69,319,189
"239","Lauterbourg",67630,NA,NA,67261,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",11.25,2291,204
"240","Lembach",67510,NA,NA,67263,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",48.89,1560,32
"241","Leutenheim",67480,NA,NA,67264,"Haguenau-Wissembourg","Bischwiller","CC du Pays Rhénan",10.39,843,81
"242","Lichtenberg",67340,NA,NA,67265,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",12.12,559,46
"243","Limersheim",67150,NA,NA,67266,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",5.58,661,118
"244","Lingolsheim",67380,NA,NA,67267,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",5.69,18569,3263
"245","Lipsheim",67640,NA,NA,67268,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",4.96,2568,518
"246","Littenheim",67490,NA,NA,67269,"Saverne","Saverne","CC du Pays de Saverne",4.21,284,67
"247","Lixhausen",67270,NA,NA,67270,"Saverne","Bouxwiller","CC du Pays de la Zorn",3.29,374,114
"248","Lobsann",67250,NA,NA,67271,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",2.73,638,234
"249","Lochwiller",67440,NA,NA,67272,"Saverne","Saverne","CC du Pays de Saverne",4.63,428,92
"250","Lohr",67290,NA,NA,67273,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",10.41,498,48
"251","Lorentzen",67430,NA,NA,67274,"Saverne","Ingwiller","CC de l'Alsace Bossue",7.85,238,30
"252","Lupstein",67490,NA,NA,67275,"Saverne","Saverne","CC du Pays de Saverne",7.82,788,101
"253","Lutzelhouse",67130,NA,NA,67276,"Molsheim","Mutzig","CC de la Vallée de la Bruche",28.58,1904,67
"254","Mackenheim",67390,NA,NA,67277,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",11.79,761,65
"255","Mackwiller",67430,NA,NA,67278,"Saverne","Ingwiller","CC de l'Alsace Bossue",9.02,589,65
"256","Maennolsheim",67700,NA,NA,67279,"Saverne","Saverne","CC du Pays de Saverne",2.74,232,85
"257","Maisonsgoutte",67220,NA,NA,67280,"Sélestat-Erstein","Mutzig","CC de la Vallée de Villé",4.87,804,165
"258","Marckolsheim",67390,NA,NA,67281,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",33.36,4142,124
"259","Marlenheim",67520,NA,NA,67282,"Molsheim","Molsheim","CC de la Mossig et du Vignoble",14.59,4234,290
"260","Marmoutier",67440,NA,NA,67283,"Saverne","Saverne","CC du Pays de Saverne",14.07,2705,192
"261","Matzenheim",67150,NA,NA,67285,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",7.14,1418,199
"262","Meistratzheim",67210,NA,NA,67286,"Sélestat-Erstein","Obernai","CC du Pays de Sainte-Odile",12.82,1469,115
"263","Melsheim",67270,NA,NA,67287,"Saverne","Bouxwiller","CC du Pays de la Zorn",5.21,585,112
"264","Memmelshoffen",67250,NA,NA,67288,"Haguenau-Wissembourg","Wissembourg","CC de l'Outre-Forêt",1.82,332,182
"265","Menchhoffen",67340,NA,NA,67289,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",4.27,603,141
"266","Merkwiller-Pechelbronn",67250,NA,NA,67290,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",3.76,919,244
"267","Mertzwiller",67580,NA,NA,67291,"Haguenau-Wissembourg","Reichshoffen","CC du Pays de Niederbronn-les-Bains",6.96,3360,483
"268","Mietesheim",67580,NA,NA,67292,"Haguenau-Wissembourg","Reichshoffen","CC du Pays de Niederbronn-les-Bains",8.49,669,79
"269","Minversheim",67270,NA,NA,67293,"Saverne","Bouxwiller","CC du Pays de la Zorn",5.45,668,123
"270","Mittelbergheim",67140,NA,NA,67295,"Sélestat-Erstein","Obernai","CC du Pays de Barr",3.83,658,172
"271","Mittelhausbergen",67206,NA,NA,67296,"Strasbourg","Hœnheim","Eurométropole de Strasbourg",1.72,1934,1124
"272","Mittelschaeffolsheim",67170,NA,NA,67298,"Haguenau-Wissembourg","Brumath","CA de Haguenau",2.64,564,214
"273","Mollkirch",67190,NA,NA,67299,"Molsheim","Molsheim","CC des Portes de Rosheim",12.47,928,74
"274","Molsheim",67120,NA,NA,67300,"Molsheim","Molsheim","CC de la région de Molsheim-Mutzig",10.85,9286,856
"275","Mommenheim",67670,NA,NA,67301,"Haguenau-Wissembourg","Brumath","CA de Haguenau",8.16,1815,222
"276","Monswiller",67700,NA,NA,67302,"Saverne","Saverne","CC du Pays de Saverne",4.72,2109,447
"277","Morsbronn-les-Bains",67360,NA,NA,67303,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",6.87,678,99
"278","Morschwiller",67350,NA,NA,67304,"Haguenau-Wissembourg","Haguenau","CA de Haguenau",4.62,595,129
"279","Mothern",67470,NA,NA,67305,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",10.3,2033,197
"280","Muhlbach-sur-Bruche",67130,NA,NA,67306,"Molsheim","Mutzig","CC de la Vallée de la Bruche",8.38,648,77
"281","Mulhausen",67350,NA,NA,67307,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",4,480,120
"282","Munchhausen",67470,NA,NA,67308,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",5.92,732,124
"283","Mundolsheim",67450,NA,NA,67309,"Strasbourg","Hœnheim","Eurométropole de Strasbourg",4.09,4741,1159
"284","Mussig",67600,NA,NA,67310,"Sélestat-Erstein","Sélestat","CC de Sélestat",11.73,1143,97
"285","Muttersholtz",67600,NA,NA,67311,"Sélestat-Erstein","Sélestat","CC de Sélestat",12.67,2023,160
"286","Mutzenhouse",67270,NA,NA,67312,"Saverne","Bouxwiller","CC du Pays de la Zorn",2.21,452,205
"287","Mutzig",67190,NA,NA,67313,"Molsheim","Mutzig","CC de la région de Molsheim-Mutzig",8.01,5992,748
"288","Natzwiller",67130,NA,NA,67314,"Molsheim","Mutzig","CC de la Vallée de la Bruche",7.29,548,75
"289","Neewiller-près-Lauterbourg",67630,NA,NA,67315,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",7.34,648,88
"290","Neubois",67220,NA,NA,67317,"Sélestat-Erstein","Mutzig","CC de la Vallée de Villé",11.42,695,61
"291","Neugartheim-Ittlenheim",67370,NA,NA,67228,"Saverne","Bouxwiller","CC du Kochersberg",4.06,797,196
"292","Neuhaeusel",67480,NA,NA,67319,"Haguenau-Wissembourg","Bischwiller","CC du Pays Rhénan",3.05,344,113
"293","Neuve-Église",67220,NA,NA,67320,"Sélestat-Erstein","Mutzig","CC de la Vallée de Villé",5.48,631,115
"294","Neuviller-la-Roche",67130,NA,NA,67321,"Molsheim","Mutzig","CC de la Vallée de la Bruche",9.19,349,38
"295","Neuwiller-lès-Saverne",67330,NA,NA,67322,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",31.89,1119,35
"296","Niederbronn-les-Bains",67110,NA,NA,67324,"Haguenau-Wissembourg","Reichshoffen","CC du Pays de Niederbronn-les-Bains",31.4,4395,140
"297","Niederhaslach",67280,NA,NA,67325,"Molsheim","Mutzig","CC de la région de Molsheim-Mutzig",6.63,1411,213
"298","Niederhausbergen",67207,NA,NA,67326,"Strasbourg","Hœnheim","Eurométropole de Strasbourg",3.06,1522,497
"299","Niederlauterbach",67630,NA,NA,67327,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",11.22,967,86
"300","Niedermodern",67350,NA,NA,67328,"Haguenau-Wissembourg","Reichshoffen","CA de Haguenau",4.39,931,212
"301","Niedernai",67210,NA,NA,67329,"Sélestat-Erstein","Obernai","CC du Pays de Sainte-Odile",11.33,1244,110
"302","Niederrœdern",67470,NA,NA,67330,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",6.88,920,134
"303","Niederschaeffolsheim",67500,NA,NA,67331,"Haguenau-Wissembourg","Haguenau","CA de Haguenau",6.24,1376,221
"304","Niedersoultzbach",67330,NA,NA,67333,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",4.19,265,63
"305","Niedersteinbach",67510,NA,NA,67334,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",8.3,126,15
"306","Nordheim",67520,NA,NA,67335,"Molsheim","Molsheim","CC de la Mossig et du Vignoble",6.32,880,139
"307","Nordhouse",67150,NA,NA,67336,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",11,1731,157
"308","Nothalten",67680,NA,NA,67337,"Sélestat-Erstein","Obernai","CC du Pays de Barr",4,458,115
"309","Obenheim",67230,NA,NA,67338,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",7.99,1380,173
"310","Oberbronn",67110,NA,NA,67340,"Haguenau-Wissembourg","Reichshoffen","CC du Pays de Niederbronn-les-Bains",21.15,1561,74
"311","Oberdorf-Spachbach",67360,NA,NA,67341,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",2.36,363,154
"312","Oberhaslach",67280,NA,NA,67342,"Molsheim","Mutzig","CC de la région de Molsheim-Mutzig",25.22,1771,70
"313","Oberhausbergen",67205,NA,NA,67343,"Strasbourg","Hœnheim","Eurométropole de Strasbourg",3.79,5383,1420
"314","Oberhoffen-lès-Wissembourg",67160,NA,NA,67344,"Haguenau-Wissembourg","Wissembourg","CC du Pays de Wissembourg‎",3.03,332,110
"315","Oberhoffen-sur-Moder",67240,NA,NA,67345,"Haguenau-Wissembourg","Bischwiller","CA de Haguenau",14.25,3464,243
"316","Oberlauterbach",67160,NA,NA,67346,"Haguenau-Wissembourg","Wissembourg","CC de la Plaine du Rhin",5.32,536,101
"317","Obermodern-Zutzendorf",67330,NA,NA,67347,"Saverne","Bouxwiller","CC de Hanau-La Petite Pierre",14.46,1676,116
"318","Obernai",67210,NA,NA,67348,"Sélestat-Erstein","Obernai","CC du Pays de Sainte-Odile",25.74,10953,426
"319","Oberrœdern",67250,NA,NA,67349,"Haguenau-Wissembourg","Wissembourg","CC de l'Outre-Forêt",5,531,106
"320","Oberschaeffolsheim",67203,NA,NA,67350,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",7.56,2313,306
"321","Obersoultzbach",67330,NA,NA,67352,"Saverne","Bouxwiller","CC de Hanau-La Petite Pierre",5.16,433,84
"322","Obersteinbach",67510,NA,NA,67353,"Haguenau-Wissembourg","Reichshoffen","CC Sauer-Pechelbronn",9.18,224,24
"323","Odratzheim",67520,NA,NA,67354,"Molsheim","Molsheim","CC de la Mossig et du Vignoble",1.54,488,317
"324","Oermingen",67970,NA,NA,67355,"Saverne","Ingwiller","CC de l'Alsace Bossue",14.63,1252,86
"325","Offendorf",67850,NA,NA,67356,"Haguenau-Wissembourg","Bischwiller","CC du Pays Rhénan",14.22,2488,175
"326","Offwiller",67340,NA,NA,67358,"Haguenau-Wissembourg","Reichshoffen","CC du Pays de Niederbronn-les-Bains",15.92,804,51
"327","Ohlungen",67590,67170,NA,67359,"Haguenau-Wissembourg","Haguenau","CA de Haguenau",8.39,1307,156
"328","Ohnenheim",67390,NA,NA,67360,"Sélestat-Erstein","Sélestat","CC de Marckolsheim et environs",12.12,1015,84
"329","Olwisheim",67170,NA,NA,67361,"Haguenau-Wissembourg","Brumath","CA de Haguenau",2.96,494,167
"330","Orschwiller",67600,NA,NA,67362,"Sélestat-Erstein","Sélestat","CC de Sélestat",6.32,608,96
"331","Osthoffen",67990,NA,NA,67363,"Strasbourg","Lingolsheim","Eurométropole de Strasbourg",5.11,829,162
"332","Osthouse",67150,NA,NA,67364,"Sélestat-Erstein","Erstein","CC du Canton d'Erstein",9.72,923,95
"333","Ostwald",67540,NA,NA,67365,"Strasbourg","Illkirch-Graffenstaden","Eurométropole de Strasbourg",7.11,12714,1788
"334","Ottersthal",67700,NA,NA,67366,"Saverne","Saverne","CC du Pays de Saverne",3.13,678,217
"335","Otterswiller",67700,NA,NA,67367,"Saverne","Saverne","CC du Pays de Saverne",3.28,1346,410
"336","Ottrott",67530,NA,NA,67368,"Molsheim","Molsheim","CC des Portes de Rosheim",28.89,1548,54
"337","Ottwiller",67320,NA,NA,67369,"Saverne","Ingwiller","CC de l'Alsace Bossue",5.09,260,51
"338","Petersbach",67290,NA,NA,67370,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",8.88,640,72
"339","La Petite-Pierre",67290,NA,NA,67371,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",19.57,624,32
"340","Pfalzweyer",67320,NA,NA,67373,"Saverne","Ingwiller","CC de Hanau-La Petite Pierre",2.23,323,145
"341","Pfulgriesheim",67370,NA,NA,67375,"Saverne","Bouxwiller","CC du Kochersberg",4.81,1292,269
